e	234413	0.105022804
i	200536	0.089845073
a	196995	0.088258618
o	170062	0.076191970
r	160269	0.071804464
n	158061	0.070815226
t	151254	0.067765522
s	137139	0.061441654
l	129390	0.057969911
c	100944	0.045225401
u	87145	0.039043109
p	75872	0.033992527
m	68773	0.030812000
d	67241	0.030125626
h	63218	0.028323223
y	51542	0.023092087
g	46076	0.020643184
b	39038	0.017489987
f	23687	0.010612360
v	19816	0.008878057
k	15612	0.006994561
w	13527	0.006060430
z	8230	0.003687243
x	6840	0.003064489
q	3657	0.001638426
j	2683	0.001202050
